category,objective,guidance,manifest_url,image_ark
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00003e
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00003f
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000040
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000041
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000042
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000043
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000044
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000045
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000046
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000047
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000048
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000049
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00004a
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00004b
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00004c
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00004d
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00004e
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00004f
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000050
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000051
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000052
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000053
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000054
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000055
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000056
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000057
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000058
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000059
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00005a
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00005b
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00005c
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00005d
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00005e
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00005f
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000060
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000061
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000062
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000063
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000064
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000065
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000066
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000067
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000068
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000069
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00006a
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00006b
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00006c
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00006d
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00006e
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00006f
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000070
