manifest_id,name
ark:/81055/vdc_100022589050.0x000002,Miscellaneous Birmingham theatres 1801-1805
ark:/81055/vdc_100022589068.0x000002,Miscellaneous Edinburgh theatres 1840-1846.
ark:/81055/vdc_100022589178.0x000002,Miscellaneous Hull theatres 1820-1828.
ark:/81055/vdc_100022589012.0x000002,Miscellaneous London theatres 1807-1857.
ark:/81055/vdc_100022589017.0x000002,Miscellaneous London theatres 1807-1857.
ark:/81055/vdc_100022589094.0x000002,Miscellaneous Newcastle-upon-Tyne theatres 1791-1855
ark:/81055/vdc_100022589304.0x000002,Miscellaneous Newcastle-upon-Tyne theatres 1791-1855
ark:/81055/vdc_100022589154.0x000002,Miscellaneous Nottingham theatres 1806-1831
ark:/81055/vdc_100022589092.0x000002,Miscellaneous Plymouth theatres 1796-1882
ark:/81055/vdc_100022589096.0x000002,Miscellaneous Plymouth theatres 1796-1882
ark:/81055/vdc_100022589114.0x000002,Miscellaneous theatres: Chideock - Deptford 1790-1853
ark:/81055/vdc_100022589120.0x000002,Miscellaneous theatres: Chideock - Deptford 1790-1853
ark:/81055/vdc_100022589104.0x000002,Miscellaneous theatres: Derby - Drogheda 1792-1852
ark:/81055/vdc_100022589112.0x000002,Miscellaneous theatres: Derby - Drogheda 1792-1852
ark:/81055/vdc_100022589102.0x000002,Miscellaneous theatres: Huddersfield - Ledbury 1783-1864
ark:/81055/vdc_100022589128.0x000002,Miscellaneous theatres: Huddersfield - Ledbury 1783-1864
ark:/81055/vdc_100022589132.0x000002,Miscellaneous theatres: Nottingham - Oswestry 1755-1848
ark:/81055/vdc_100022589134.0x000002,Miscellaneous theatres: Nottingham - Oswestry 1755-1848
ark:/81055/vdc_100022589116.0x000002,Miscellaneous theatres: Pittenweem - Sandwich 1777-1855
ark:/81055/vdc_100022589118.0x000002,Miscellaneous theatres: Pittenweem - Sandwich 1777-1855
ark:/81055/vdc_100022589110.0x000002,Miscellaneous theatres: Shepton Mallet - Shrewsbury 1791-1847
ark:/81055/vdc_100022589106.0x000002,Miscellaneous theatres: Skipton - Stirling 1797-1848
ark:/81055/vdc_100022589108.0x000002,Miscellaneous theatres: Stroud - Tullamore 1788-1848
ark:/81055/vdc_100022589122.0x000002,Miscellaneous theatres: Stroud - Tullamore 1788-1848
ark:/81055/vdc_100022589124.0x000002,Miscellaneous theatres: Waterford - Winchester 1787-1852
ark:/81055/vdc_100022589290.0x000002,Miscellaneous Tyneside and London theatres 1821-1836
ark:/81055/vdc_100022589174.0x000002,Miscellaneous Tyneside theatres 1816-1827
ark:/81055/vdc_100022589100.0x000002,Miscellaneous Wolverhampton theatres 1794-1819
ark:/81055/vdc_100022589136.0x000002,"New Theatre Royal, Hull 1810-1811"
ark:/81055/vdc_100022589022.0x000002,Old Vic Theatre 1824-1833
ark:/81055/vdc_100022589015.0x000002,Old Vic Theatre 1834-1840
ark:/81055/vdc_100022589176.0x000002,Olympic Theatre 1815-1831
ark:/81055/vdc_100022589148.0x000002,Olympic Theatre 1832-1834
ark:/81055/vdc_100022588997.0x000002,Princess's Theatre 1840-1844
ark:/81055/vdc_100022589001.0x000002,Princess's Theatre 1840-1844
ark:/81055/vdc_100022588993.0x000002,Princess's Theatre 1856-1860
ark:/81055/vdc_100022588999.0x000002,Princess's Theatre 1856-1860
ark:/81055/vdc_100022589288.0x000002,St. James Theatre 1835-1838
ark:/81055/vdc_100022589024.0x000002,"Theatre Royal, Bath 1812-1818"
ark:/81055/vdc_100022589030.0x000002,"Theatre Royal, Bath 1812-1818"
ark:/81055/vdc_100022589026.0x000002,"Theatre Royal, Bath 1824-1830"
ark:/81055/vdc_100022589032.0x000002,"Theatre Royal, Bath 1824-1830"
ark:/81055/vdc_100022589034.0x000002,"Theatre Royal, Bath 1831-1840"
ark:/81055/vdc_100022589042.0x000002,"Theatre Royal, Bath 1831-1840"
ark:/81055/vdc_100022589028.0x000002,"Theatre Royal, Bath 1834-1840"
ark:/81055/vdc_100022589048.0x000002,"Theatre Royal, Bath 1834-1840"
ark:/81055/vdc_100022589036.0x000002,"Theatre Royal, Bath 1841-1851"
ark:/81055/vdc_100022589040.0x000002,"Theatre Royal, Bath 1841-1851"
ark:/81055/vdc_100022589058.0x000002,"Theatre Royal, Birmingham 1806-1809"
ark:/81055/vdc_100022589056.0x000002,"Theatre Royal, Birmingham 1810-1812"
ark:/81055/vdc_100022589062.0x000002,"Theatre Royal, Birmingham 1810-1812"
ark:/81055/vdc_100022589052.0x000002,"Theatre Royal, Birmingham 1813-1815"
ark:/81055/vdc_100022589054.0x000002,"Theatre Royal, Birmingham 1813-1815"
ark:/81055/vdc_100022589064.0x000002,"Theatre Royal, Birmingham 1831-1835"
ark:/81055/vdc_100022589238.0x000002,"Theatre Royal, Birmingham 1831-1835"
ark:/81055/vdc_100022589044.0x000002,"Theatre Royal, Bristol 1819-1823"
ark:/81055/vdc_100022589060.0x000002,"Theatre Royal, Bristol 1819-1823"
ark:/81055/vdc_100022589088.0x000002,"Theatre Royal, Dublin 1825-1829"
ark:/81055/vdc_100022589298.0x000002,"Theatre Royal, Dublin 1825-1829"
ark:/81055/vdc_100022589066.0x000002,"Theatre Royal, Dublin 1830-1839"
ark:/81055/vdc_100022589074.0x000002,"Theatre Royal, Dublin 1830-1839"
ark:/81055/vdc_100022589180.0x000002,"Theatre Royal, Edinburgh and Theatre Royal, Perth 1825"
ark:/81055/vdc_100022589150.0x000002,"Theatre Royal, Hull 1801-1807"
ark:/81055/vdc_100022589156.0x000002,"Theatre Royal, Hull 1807-1814"
ark:/81055/vdc_100022589140.0x000002,"Theatre Royal, Hull 1815-1816"
ark:/81055/vdc_100022589142.0x000002,"Theatre Royal, Hull 1816-1817"
ark:/81055/vdc_100022589144.0x000002,"Theatre Royal, Hull 1818-1819"
ark:/81055/vdc_100022589172.0x000002,"Theatre Royal, Hull 1821-1822"
ark:/81055/vdc_100022589170.0x000002,"Theatre Royal, Hull 1822-1823"
ark:/81055/vdc_100022589168.0x000002,"Theatre Royal, Hull 1825-1826"
ark:/81055/vdc_100022589162.0x000002,"Theatre Royal, Hull 1826-1827"
ark:/81055/vdc_100022589160.0x000002,"Theatre Royal, Hull 1827-1830"
ark:/81055/vdc_100022589070.0x000002,"Theatre Royal, Liverpool 1773-1781"
ark:/81055/vdc_100022589072.0x000002,"Theatre Royal, Liverpool 1773-1781"
ark:/81055/vdc_100022589080.0x000002,"Theatre Royal, Liverpool 1820-1822"
ark:/81055/vdc_100022589086.0x000002,"Theatre Royal, Liverpool 1820-1822"
ark:/81055/vdc_100022589076.0x000002,"Theatre Royal, Liverpool 1823-1825"
ark:/81055/vdc_100022589078.0x000002,"Theatre Royal, Liverpool 1823-1825"
ark:/81055/vdc_100022589082.0x000002,"Theatre Royal, Manchester 1793-1808"
